Colony,Nest,Day,ScaledX,ScaledY,Density
9,Tube,14,4.925428784,2.695749441,High
9,Tube,14,5.117449664,1.49142431,High
9,Tube,14,5.508948546,2.007829978,High
9,Tube,14,5.605891126,2.470171514,High
10,Circle,2,2.999134544,1.325672721,High
10,Circle,2,3.5680745,1.769829503,High
10,Circle,2,3.888682357,1.545589325,High
10,Circle,2,4.179638621,2.014455152,High
10,Circle,2,4.205583766,1.132320237,High
10,Circle,2,4.56510934,1.271312083,High
10,Circle,4,2.848566179,1.872702539,High
10,Circle,4,3.162827351,1.336069427,High
10,Circle,4,3.398063784,1.602548199,High
10,Circle,4,3.594094757,1.576207232,High
10,Circle,4,3.826879585,1.554153816,High
10,Circle,4,4.125826498,1.225802349,High
10,Circle,5,2.402774769,1.515295413,High
10,Circle,5,2.788712685,1.595328622,High
10,Circle,5,2.961228713,1.264524693,High
10,Circle,5,3.487669373,1.442376268,High
10,Circle,5,3.565924065,1.700261051,High
10,Circle,5,3.718876419,1.463718457,High
10,Circle,6,2.932075472,1.886792453,High
10,Circle,6,3.552830189,1.494339623,High
10,Circle,6,3.735849057,1.771698113,High
10,Circle,6,4.143396226,1.352830189,High
10,Circle,6,4.188679245,1.769811321,High
10,Circle,6,4.726415094,1.830188679,High
10,Circle,8,2.567084564,1.120753323,High
10,Circle,8,2.884047267,1.787296898,High
10,Circle,8,3.36903065,1.324470089,High
10,Circle,8,3.669374077,1.691285081,High
10,Circle,8,3.738306869,1.319547637,High
10,Circle,8,3.888478582,1.125060931,High
10,Circle,9,3.143785425,2.09728929,High
10,Circle,9,3.23395841,1.455036805,High
10,Circle,9,3.633295915,1.50104343,High
10,Circle,9,3.760274199,1.81020795,High
10,Circle,9,4.018524107,1.63354251,High
