Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
16,Circle,13,3.671138227,0.668157601,3,12,Low
16,Tube,1,2.933713889,1.327156996,4,5,Low
16,Tube,1,4.599430449,0.887384303,7,6,Low
16,Tube,4,4.22310757,1.25498008,6,12,Low
16,Tube,4,4.631474104,0.644920319,7,15,Low
16,Tube,5,2.871024735,1.300795053,4,13,Low
16,Tube,5,3.490503534,1.335026502,5,16,Low
16,Tube,6,4.063962559,1.271450858,6,14,Low
16,Tube,6,4.329173167,1.35725429,6,15,Low
16,Tube,8,4.363778298,1.319281811,6,14,Low
16,Tube,8,4.668227947,1.2509758,6,15,Low
16,Tube,9,2.820496815,1.067701598,3,9,Low
16,Tube,10,4.053113553,1.307082418,6,11,Low
16,Tube,12,2.843567251,1.25,4,10,Low
16,Tube,13,3.238236384,0.580461282,2,7,Low
16,Tube,13,3.087563913,1.266519081,4,10,Low
16,Tube,14,2.842105263,1.221804511,4,11,Low
16,Tube,14,3.22556391,1.229323308,4,12,Low
17,Circle,2,3.372851498,3.284802413,8,37,Low
17,Circle,2,4.084858569,3.008180116,7,85,Low
17,Circle,2,3.37562396,2.487520799,6,106,Low
17,Circle,3,2.769410141,2.376172189,6,48,Low
17,Circle,3,2.898260542,2.03313253,5,49,Low
17,Circle,3,3.771754518,2.92001255,7,72,Low
17,Circle,4,2.732778021,2.580269264,6,44,Low
17,Circle,4,3.027583187,2.875072242,7,47,Low
17,Circle,4,2.979422067,2.447460595,6,102,Low
17,Circle,5,3.997615741,3.146744529,8,57,Low
17,Circle,5,3.169191919,2.064393939,5,118,Low
17,Circle,5,4.022165404,2.93700968,7,125,Low
17,Circle,8,2.624479397,2.530660412,6,15,Low
17,Circle,8,2.991169978,2.192788815,5,51,Low
17,Circle,8,3.658940397,2.934142752,7,53,Low
17,Circle,9,3.342665174,2.523951101,6,90,Low
17,Circle,9,3.472066069,2.571233669,6,91,Low
17,Circle,11,2.102479942,1.857525529,4,21,Low
17,Circle,11,2.537685996,2.200340992,5,46,Low
17,Circle,11,3.006929249,3.274981765,8,76,Low
17,Circle,12,3.250929368,2.657992565,7,76,Low
17,Circle,12,4.336431227,1.464684015,3,93,Low
17,Circle,12,4.485130112,1.639405204,4,95,Low
17,Circle,13,3.157602664,2.241953385,5,107,Low
17,Circle,13,3.790233074,3.039215686,8,132,Low
17,Circle,13,4.126896041,2.595264521,6,136,Low
17,Tube,3,3.278228925,2.114269142,2,34,Low
17,Tube,3,3.019464424,2.311162026,2,35,Low
17,Tube,3,6.174271075,4.42575406,6,75,Low
17,Tube,5,3.350988701,1.52306968,1,24,Low
17,Tube,5,2.959039548,2.172787194,2,37,Low
17,Tube,5,3.661330038,4.698681733,5,63,Low
17,Tube,6,2.802526596,2.35483156,2,39,Low
17,Tube,6,2.941046099,2.156471631,2,40,Low
17,Tube,6,6.040188387,4.502067819,6,87,Low
17,Tube,7,3.386627907,1.883944544,1,25,Low
17,Tube,7,2.521243292,2.147808587,2,36,Low
17,Tube,7,3.605395796,4.262819767,5,65,Low
17,Tube,8,3.880866426,1.647111913,1,18,Low
17,Tube,8,2.058513087,2.272863267,2,34,Low
17,Tube,8,5.068440884,4.400570848,6,65,Low
17,Tube,9,2.873590226,2.193766447,2,41,Low
17,Tube,9,2.699718045,2.170270207,2,43,Low
17,Tube,9,5.655545113,4.755639098,6,77,Low
17,Tube,10,3.173194752,2.158167036,2,33,Low
17,Tube,10,2.983494087,2.281350702,2,34,Low
17,Tube,10,6.231831116,4.342817812,6,82,Low
17,Tube,11,3.278727445,2.115384615,2,24,Low
17,Tube,11,2.780151947,2.340930674,2,28,Low
17,Tube,11,5.69325736,4.618549383,6,60,Low
17,Tube,12,3.19843342,2.421671018,2,37,Low
17,Tube,12,3.105598346,2.175080505,2,38,Low
17,Tube,12,3.286190165,4.276181462,5,63,Low
17,Tube,14,3.651226158,2.24568574,1,32,Low
17,Tube,14,2.770208901,2.195731153,2,36,Low
17,Tube,14,4.554950045,4.291553134,5,69,Low
18,Circle,2,3.56400665,1.44638404,6,8,Low
18,Circle,3,3.614931238,1.579076621,7,22,Low
18,Circle,4,3.711385702,0.968667255,4,11,Low
18,Circle,5,4.261682855,1.137388091,5,16,Low
18,Circle,9,4.196794231,1.487178846,6,41,Low
18,Circle,11,3.310942266,1.846405229,8,41,Low
18,Circle,12,3.824515648,1.494038748,7,33,Low
18,Circle,13,3.316076807,1.379894578,6,14,Low
18,Tube,3,2.476340694,1.625262224,4,25,Low
18,Tube,5,2.473080524,1.499297753,3,23,Low
18,Tube,6,3.322072072,1.808558559,5,25,Low
18,Tube,7,2.579545455,1.55,3,20,Low
18,Tube,8,2.720588235,0.950311943,2,18,Low
18,Tube,10,3.17077728,0.971599402,2,11,Low
18,Tube,10,2.856875934,0.871948804,2,12,Low
18,Tube,11,3.926744242,1.739443378,5,27,Low
18,Tube,12,3.925088652,1.817375887,5,26,Low
18,Tube,14,3.963733796,1.768518519,5,24,Low
19,Circle,2,3.046052172,1.284635916,4,7,Low
19,Circle,2,2.98816157,1.712632589,6,12,Low
19,Circle,2,3.461037266,1.914271096,7,13,Low
19,Circle,2,3.836997377,1.985821125,7,16,Low
19,Circle,2,3.533888843,1.499284051,5,30,Low
19,Circle,4,3.029618474,1.603915663,6,14,Low
19,Circle,4,3.812751004,0.986445783,3,38,Low
19,Circle,4,3.674698795,1.596385542,5,40,Low
19,Circle,4,3.358433735,1.616465863,6,41,Low
19,Circle,4,4.146586345,0.928714859,3,43,Low
19,Circle,5,3.056049822,1.977313167,7,20,Low
19,Circle,5,3.245106762,2.068505338,7,21,Low
19,Circle,5,3.84934831,1.811238879,6,43,Low
19,Circle,5,3.75,1.545818505,5,44,Low
