"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
12,"Tube",7,4.603204173,3.233979136,6,79,"A,M,21,23","A","M",21,23
12,"Tube",7,4.743852459,3.36438152,6,80,"A,F,3,24","A","F",3,24
12,"Tube",7,5.137853949,3.19485842,6,81,"A,M,22,25","A","M",22,25
12,"Tube",7,5.320417288,3.316877794,6,86,"A,F,4,26","A","F",4,26
12,"Tube",7,5.448956781,3.376490313,6,87,"A,M,23,27","A","M",23,27
12,"Tube",7,5.607302534,3.414679583,6,88,"A,M,24,28","A","M",24,28
12,"Tube",7,5.763785395,3.245776826,6,90,"A,M,25,29","A","M",25,29
12,"Tube",7,6.223919523,2.786264903,7,93,"A,F,5,30","A","F",5,30
12,"Tube",7,6.127980626,2.378912072,7,95,"A,M,26,31","A","M",26,31
12,"Tube",7,5.650149031,1.421385991,8,100,"A,F,6,32","A","F",6,32
12,"Tube",7,5.555761923,1.618852459,8,101,"A,M,27,33","A","M",27,33
12,"Tube",7,5.273845007,1.477272727,8,104,"A,F,7,34","A","F",7,34
12,"Tube",8,3.687702855,1.510768219,1,12,"A,M,1,1","A","M",1,1
12,"Tube",8,2.833709617,1.508264463,2,20,"A,M,2,2","A","M",2,2
12,"Tube",8,2.638367769,1.703606311,2,23,"A,M,3,3","A","M",3,3
12,"Tube",8,2.426746807,1.527047333,2,25,"A,F,1,4","A","F",1,4
12,"Tube",8,2.114951165,1.671675432,2,26,"A,M,4,5","A","M",4,5
12,"Tube",8,1.987227648,1.607813674,2,31,"A,M,5,6","A","M",5,6
12,"Tube",8,1.631605935,1.681692337,3,37,"A,M,6,7","A","M",6,7
12,"Tube",8,1.606560856,1.862007889,3,38,"A,M,7,8","A","M",7,8
12,"Tube",8,1.476333584,1.937139369,3,39,"A,M,8,9","A","M",8,9
12,"Tube",8,1.408715252,1.714250563,3,40,"A,M,9,10","A","M",9,10
12,"Tube",8,1.606560856,2.645880917,3,44,"A,M,10,11","A","M",10,11
12,"Tube",8,1.646632231,2.796143877,3,45,"A,M,11,12","A","M",11,12
12,"Tube",8,1.704231781,2.936388054,3,56,"A,?,?,13","A","?",NA,13
12,"Tube",8,3.219383922,3.089782119,5,59,"A,M,12,14","A","M",12,14
12,"Tube",8,3.50864012,3.258827949,5,60,"A,M,13,15","A","M",13,15
12,"Tube",8,3.726521412,3.146130729,5,61,"A,M,14,16","A","M",14,16
12,"Tube",8,4.228024042,3.166791886,5,63,"A,M,15,17","A","M",15,17
12,"Tube",8,4.325694966,3.18933133,5,64,"A,M,16,18","A","M",16,18
12,"Tube",8,4.145379414,3.155522164,5,65,"A,M,16,19","A","M",16,19
12,"Tube",8,4.483471074,3.266341097,5,66,"A,M,16,20","A","M",16,20
12,"Tube",8,4.622464313,3.347107438,6,67,"A,M,16,21","A","M",16,21
12,"Tube",8,4.911720511,3.178061608,6,72,"A,F,2,22","A","F",2,22
12,"Tube",8,6.157024793,3.260706236,6,82,"A,M,20,23","A","M",20,23
12,"Tube",8,6.072501878,2.806160781,7,83,"A,F,3,24","A","F",3,24
12,"Tube",8,6.339218633,2.723516153,7,86,"A,F,4,25","A","F",4,25
12,"Tube",8,6.239669421,2.511269722,7,87,"A,M,21,26","A","M",21,26
12,"Tube",8,6.228399699,2.227648385,7,91,"A,?,?,27","A","?",NA,27
12,"Tube",8,6.164537941,1.863260706,7,92,"A,M,22,28","A","M",22,28
